issn_impreso,issn_linea,nombre_revista,anio_vigencia,categoria
0120-4157,,Biomédica,2006,A2
0122-9761,,Boletín De Investigaciones Marinas Y Costeras,2007,A2
0120-341X,,Revista Universidad Eafit,2006,C
0124-0064,,Revista De Salud Pública,2007,A1
1692-3901,,Economía Y Desarrollo,2006,C
0121-3628,,Estudios De Filosofía,2006,B
0120-6230,,Revista Facultad De Ingeniería,2009,A1
0123-3033,,Ingeniería Y Competitividad,2005,C
0120-3630,,Boletín De Ciencias De La Tierra,2015,A2
0120-0690,,Revista Colombiana De Ciencias Pecuarias,2004,B
0120-5307,,Investigación Y Educación En Enfermería,2012,A2
0120-5552,,Salud Uninorte,2010,A2
0120-3649,,Theologica Xaveriana,2010,B
0123-5583,,Actualizaciones En Enfermería,2010,C
0120-0542,,Boletín Científico Cioh,2007,B
0120-3592,,Cuadernos De Administración,2010,A2
0120-0062,,Ideas Y Valores,2005,B
0120-6230,,Revista Facultad De Ingeniería,2014,A1
0120-0062,,Ideas Y Valores,2010,A1
0120-5633,,Revista Colombiana De Cardiología,2007,A2
0366-5232,,Caldasia,2015,A1
0124-4035,,Desafíos,2008,C
0121-0807,,Salud Uis,2008,C
0121-2494,,Pedagogía Y Saberes,2010,B
1692-8415,,Revista Ciencia  Y Tecnología Para La Salud Visual Y Ocular,2010,C
0120-5633,,Revista Colombiana De Cardiología,2008,A2
1692-7273,,Revista Ciencias De La Salud,2009,B
1692-7273,,Revista Ciencias De La Salud,2008,B
0120-2456,,Anuario Colombiano De Historia Social,2009,C
0120-8705,,Revista Ces Medicina,2009,B
0121-5051,,"Innovar, Revista De Ciencias Administrativas Y Sociales",2011,A1
0124-308X,,Revista De La Facultad Ciencias De La Salud Universidad Del Cauca,2006,C
0124-7492,,Ingenium,2012,C
1794-4449,,Revista Lasallista De Investigación,2009,B
0123-7799,,Tecno Lógicas,2009,B
0120-3584,,Desarrollo Y Sociedad,2007,A2
1900-2351,,Revista Politecnica,2014,B
1692-7257,,Revista Colombiana De Tecnologías De Avanzada,2008,C
0121-5256,,Revista Med,2012,A2
0121-5612,,Colombia Internacional,2008,A2
1657-4702,,Revista Latinoamericana De Bioetica/Latinamerican Journal Of Bioethics,2008,B
2346-1780,,Perseitas,2014,C
1692-5106,,Revista Ustasalud Odontología,2013,C
1692-5106,,Revista Ustasalud Odontología,2011,C
0122-8706,,Revista Corpoica,2010,C
0120-0976,,Revista Interamericana De Bibliotecología,2009,A2
0124-793X,,Revista De Investigaciones Unad,2008,C
1794-5232,,Cultura Del Cuidado Enfermeria,2010,C
1657-0308,,Revista De Arquitectura,2008,C
0122-9729,,Tendencias & Retos,2013,C
0121-215X,,Cuadernos De Geografía,2014,A2
0120-338X,,Forma Y Función,2015,A2
2011-5318,,Educacion Y Desarrollo Social,2009,C
0120-419X,,Revista Integración,2009,C
0120-4319,,Universitas Odontologica,2013,B
1692-5238,,S&T : Sistemas Y Telemática,2015,C
0123-4366,,Revista De Derecho Privado,2011,B
2011-4680,,Impetus,2012,C
1900-2386,,Psychologia. Avances De La Disciplina,2012,A2
0122-1108,,Pensamiento Jurídico,2014,C
1692-1798,,Revista Iteckne,2013,B
1692-1798,,Revista Iteckne,2010,C
2011-8643,,Magistro,2011,C
0121-5469,,Revista Colombiana De Psicología,2015,A1
1900-7841,,Revista Colombiana Salud Libre,2011,C
1900-6586,,"Revista Científica ""General José María Córdova""",2013,B
0123-9678,,Ventana Informática,2010,C
1909-4450,,Revista Republicana,2013,A2
1794-8886,,Memorias,2010,B
,,Luciernaga : Revista Virtual,2011,C
1794-3841,,Hallazgos,2013,B
2011-7922,,International Journal Of Psychological Research,2011,B
0123-1022,,Folios,2012,C
2011-0472,,Quaestiones Disputatae,2011,C
1794-7561,,Revista De Economía & Administración,2012,C
2145-4892,,Revista De Psicología Universidad De Antioquia,2011,C
2027-1433,,Gestión & Sociedad,2012,C
1657-9089,,Infancias Imágenes,2011,C
2011-639X,,Revista De Investigación,2014,C
2145-969X,,Sinapsis,2013,C
0124-0102,,Advocatus,2013,B
2027-4688,,Fronteras De La Historia,2012,B
0120-677X,,Educación Física Y Deporte,2013,B
1794-7154,,"Saber, Ciencia Y Libertad",2013,B
2215-8987,,Arka Revista De Arquitectura,2012,C
1909-5759,,Revista Via Iuris,2013,C
2248-6046,,Finanzas Y Política Económica,2014,A2
1657-5997,,Aquichan,2012,A1
0121-7488,,Ciencia En Desarrollo,2013,B
2027-0658,,Derrotero,2013,C
2011-5253,,Ciudad Paz-Ando,2014,C
1692-8415,,Revista Ciencia  Y Tecnología Para La Salud Visual Y Ocular,2015,C
0123-4471,,Revista Del Departamento De Antropología Y Sociología Facultad De Ciencias Jurídicas Y Sociales,2014,B
2145-0935,,Revista Inge@Uan,2014,C
2215-8812,,Textos Y Sentidos,2013,C
2027-5137,,Historia Y Memoria,2016,A2
0123-5931,,"Literatura: Teoria, Historia, Critica",2014,A2
0123-3033,,Ingeniería Y Competitividad,2017,C
1657-7027,,Revista Gerencia Y Políticas De Salud,2017,C
0123-4641,,Colombian Applied Linguistics Journal,2017,B
1692-2530,,Opinión Jurídica,2014,A2
0121-4705,,Análisis Político,2018,A1
0123-4226,,Revista U.D.C.A. Actualidad & Divulgación Científica,2018,B
0120-7555,,Turismo Y Sociedad,2018,C
0120-4688,,Praxis Filosófica,2016,A2
0486-6525,,Revista Colombiana De Antropología,2019,A2
1794-4724,2145-4515,Avances En Psicología Latinoamericana,2022,C
2027-1174,,Magis - Revista Internacional De Investigación En Educación,2015,B
0123-4226,,Revista U.D.C.A. Actualidad & Divulgación Científica,2017,B
1692-1798,,Revista Iteckne,2015,B
2216-0159,,Praxis & Saber,2017,C
0120-0135,2256-2273,Revista De Ciencias Agricolas,2022,B
1794-2918,,Jurídicas,2015,C
1692-5858,2216-135X,Encuentros,2022,B
,,Ciencia Y Salud Virtual,2014,C
2145-308X,,Panorama,2019,C
1692-3324,,Revista Ingenierías Universidad De Medellín,2018,B
1794-3108,2256-5531,Revista Criminalidad,2021,B
0124-0137,,Revista Psicogente,2020,B
1657-2815,,Libre Empresa,2015,C
2027-291X,,Revista Alimentos Hoy,2016,C
0123-9155,,Acta Colombiana De Psicología,2020,C
0124-5996,,Revista De Economía Institucional,2014,A2
0121-5426,,Revista Colombiana De Neumología,2014,B
0124-8170,1909-7735,Ciencia E Ingeniería Neogranadina,2022,B
0121-7488,,Ciencia En Desarrollo,2020,C
1900-3080,,Revista Nacional De Odontología,2015,C
0121-3709,,Orinoquia,2017,C
1909-4841,,Tumbaga,2016,C
1692-2522,,Anagramas : Rumbos Y Sentidos De La Comunicación,2016,A2
0120-3932,,Economicas Cuc,2019,C
0120-8748,,Acta Neurológica Colombiana,2014,A2
0120-0534,,Revista Latinoamericana De Psicología,2020,A2
1794-1237,,Revista Eia,2016,A2
0122-6339,,Enunciación,2019,C
1692-2522,,Anagramas : Rumbos Y Sentidos De La Comunicación,2015,A2
0120-8160,,Revista Escuela De Administración De Negocios,2016,B
0120-5609,2248-8723,Ingeniería E Investigación,2022,B
0124-4035,,Desafíos,2017,C
1794-9831,,Ciencia Y Cuidado,2019,C
0121-747X,,Revista De La Facultad De Ciencias,2016,C
1657-4214,,Perfil De Coyuntura Economica,2010,B
1692-7257,,Revista Colombiana De Tecnologías De Avanzada,2018,C
2215-9177,,Ces Medicina,2020,C
0123-7756,,Revista Historia De La Educacion Colombiana,2015,C
0120-6346,,Semestre Económico,2014,A2
2027-2448,,Revista Pensamiento Americano,2015,C
,,Luciernaga : Revista Virtual,2015,C
1692-2522,,Anagramas : Rumbos Y Sentidos De La Comunicación,2014,A2
0121-4772,2248-4337,Revista Cuadernos De Economía,2022,B
0121-8670,,Criterios,2015,C
0123-3769,,Perspectiva Geográfica,2016,B
0121-0793,,Iatreia,2005,B
0120-4157,,Biomédica,2020,B
1856-9536,,"Anuario Electrónico De Estudios En Comunicación Social ""Disertarciones""",2021,C
2215-8987,,Arka Revista De Arquitectura,2014,C
2011-0731,,Academia Y Virtualidad,2019,C
1794-8290,,Cuadernos De Literatura Del Caribe E Hispanoamérica,2019,C
0123-4986,,Trabajo Social,2020,C
0121-3474,,Verba Iuris,2020,C
0121-3814,,"Tea Tecné, Episteme Y Didaxis",2017,B
0120-8454,,Análisis,2015,C
0120-3584,,Desarrollo Y Sociedad,2017,C
0120-5927,,How,2020,C
0121-5469,2344-8644,Revista Colombiana De Psicología,2022,A2
0120-2448,,Acta Médica Colombiana,2015,A2
1900-3803,,Entramado,2016,B
0034-7434,2463-0225,Revista Colombiana De Obstetricia Y Ginecología,2022,C
0120-4661,,Historia Y Espacio,2019,B
1794-1598,,Inciso,2016,C
0123-3068,,Boletín Científico Del Museo De Historia Natural,2020,A1
2811-3854,,Soluciones De Postgrados Eia,2010,C
1657-4915,,Praxis,2015,C
2145-9258,,Cultura Educacion Y Sociedad,2014,C
0120-5609,,Ingeniería E Investigación,2019,B
0124-7441,,Justicia,2016,B
1657-2815,,Libre Empresa,2016,C
1692-1399,,Revista De Tecnología,2016,C
0121-3652,,Revista Uninpahu,2016,C
1657-4206,,Ecos De Economía,2004,C
1692-9918,,Ingenieria De Recursos Naturales Y Del Ambiente,2012,C
2027-2103,,Cuadernos De Vivienda Y Urbanismo,2020,C
0121-4500,2346-0261,Avances De Enfermería,2021,B
1657-0308,2357-626X,Revista De Arquitectura,2022,B
1657-4923,2389-7872,Jangwa Pana,2022,C
0122-6517,,Inge-Cuc,2020,B
0120-4157,,Biomédica,2016,A1
0120-856X,,Revista Colombiana De Cirugía,2004,C
0123-4226,,Revista U.D.C.A. Actualidad & Divulgación Científica,2019,B
0120-4823,,Signo Y Pensamiento,2014,A2
1657-0308,,Revista De Arquitectura,2020,B
1794-7111,,Kepes,2006,C
0120-4157,,Biomédica,2007,A1
0120-4157,,Biomédica,2014,A1
0122-9761,,Boletín De Investigaciones Marinas Y Costeras,2004,C
0120-548X,,Acta Biológica Colombiana,2006,A2
0120-0534,,Revista Latinoamericana De Psicología,2010,A1
0034-7434,,Revista Colombiana De Obstetricia Y Ginecología,2014,A2
0121-5167,,Estudios Políticos,2004,B
1794-4724,,Avances En Psicología Latinoamericana,2009,A1
0120-2650,,Revista Colombiana De Física,2008,B
0120-8748,,Acta Neurológica Colombiana,2006,C
0120-0542,,Boletín Científico Cioh,2012,C
1657-8236,,Gerencia Tecnológica Informática - Gti,2008,C
0122-8285,,Palabra Clave,2010,B
0370-3908,,"Revista De La Academia Colombiana De Ciencias Exactas, Físicas Y Naturales",2006,B
0121-4500,,Avances De Enfermería,2008,B
0121-0793,,Iatreia,2013,A2
0120-0488,,Revista Colombiana De Entomología,2010,A1
0120-3916,,Revista Colombiana De Educación,2009,B
0120-4823,,Signo Y Pensamiento,2004,C
0304-3584,,Actualidades Biológicas,2012,A2
0120-3649,,Theologica Xaveriana,2013,A2
0121-5701,,Avances En Recursos Hidráulicos,2007,C
0124-7107,,Universidad Y Salud,2007,C
0120-2596,,Lecturas De Economía,2013,A2
0120-5609,,Ingeniería E Investigación,2007,A2
0120-386X,,Revista Facultad Nacional De Salud Publica,2014,A2
0122-7483,,Universitas Scientiarum,2012,A2
0120-159X,,Revista Colombiana De Sociología,2007,C
0122-9354,,Revista De Medicina Veterinaria,2014,A2
1794-5887,,Co-Herencia,2010,B
0121-3709,,Orinoquia,2012,A2
0123-4870,,Folios,2004,C
0121-4128,,Lúdica Pedagógica,2014,B
0124-8146,,Investigaciones Andina,2012,A2
0120-4483,,Ensayos Sobre Política Económica,2012,A2
0122-9354,,Revista De Medicina Veterinaria,2010,B
0123-4412,,Estudios De Literatura Colombiana,2005,C
1692-3324,,Revista Ingenierías Universidad De Medellín,2010,A2
0120-4823,,Signo Y Pensamiento,2009,A2
0121-5256,,Revista Med,2013,A2
1657-9550,,Biosalud,2011,A2
1657-9550,,Biosalud,2008,B
0120-1700,,Actualidades Pedagógicas,2012,C
0120-6680,,Revista Logos,2010,C
0034-7426,,Revista Colombiana De Matemáticas,2012,A2
0121-4772,,Revista Cuadernos De Economía,2010,A2
0121-246X,,Revista Facultad De Odontología,2006,C
0123-5923,,Estudios Gerenciales,2012,A2
0034-7426,,Revista Colombiana De Matemáticas,2009,B
0123-4471,,Revista Del Departamento De Antropología Y Sociología Facultad De Ciencias Jurídicas Y Sociales,2013,B
0123-9155,,Acta Colombiana De Psicología,2007,A2
1692-3502,,Ensayos. Historia Y Teoría Del Arte,2006,C
0122-7017,,Enterese,2009,C
2011-639X,,Revista De Investigación,2015,C
0121-5612,,Colombia Internacional,2006,B
1657-6276,,Pensamiento & Gestión,2008,B
0124-0021,,Diálogos De Saberes,2005,C
0120-4661,,Historia Y Espacio,2013,C
0121-053X,,Cuadernos De Lingüística Hispánica,2012,C
0121-215X,,Cuadernos De Geografía,2013,B
1794-5992,,Duazary,2014,C
1900-3803,,Entramado,2011,B
0120-4661,,Historia Y Espacio,2012,C
1657-0308,,Revista De Arquitectura,2010,C
0121-4128,,Lúdica Pedagógica,2013,B
1794-8347,,Revista Ciencias Estratégicas,2009,C
0120-4874,,Medicina Upb,2010,C
1692-5777,,"Gist, Education And Learning Research Journal",2013,B
0123-4366,,Revista De Derecho Privado,2015,B
0120-0143,,Fitopatologia Colombiana,2010,C
0120-0534,,Revista Latinoamericana De Psicología,2007,A1
1900-4699,,Revista Facultad De Ciencias Básicas,2009,C
1657-6357,,Sociedad Y Economía,2020,B
2027-1786,,Revista Iberoamericana De Psicología: Ciencia Y Tecnología,2010,C
1794-5232,,Cultura Del Cuidado Enfermeria,2012,C
1794-7928,,Spei Domus,2011,C
2011-2106,,Revista De Economía Del Caribe,2012,B
1900-3080,,Revista Nacional De Odontología,2011,C
1692-5777,,"Gist, Education And Learning Research Journal",2011,B
1909-941X,,Clio América,2010,C
0123-8264,,Horizontes Pedagógicos,2011,C
0120-0534,,Revista Latinoamericana De Psicología,2011,A1
1794-4732,,Ustasalud Oftometria,2012,C
1909-230X,,Ciencia Política,2011,C
0123-0670,,Papeles,2013,C
0120-1468,,Franciscanum,2015,A2
2248-7441,,Revista Antioqueña De Las Ciencias Computacionales Y La Ingeniería De Software (Raccis),2011,C
2011-7531,,Salud Uninorte,2012,A2
0124-4639,,Revista Universidad Y Empresa,2012,B
2145-1362,,R.F.S. Revista Facultad De Salud Universidad Surcolombiana,2012,C
2145-7735,,Revista Colombiana De Investigacion En Odontologia,2012,C
1909-9851,,Puente Revista Científica,2014,C
0120-0534,,Revista Latinoamericana De Psicología,2013,A1
1909-7794,,Revista De Derecho Privado,2014,B
1692-5858,,Encuentros,2013,B
1794-5887,,Co-Herencia,2017,A2
1657-6357,,Sociedad Y Economía,2017,B
0124-177X,,Gestión Y Ambiente,2014,C
0486-6525,,Revista Colombiana De Antropología,2018,B
0121-1617,,Historia Crítica,2018,C
0122-7238,,Revista Historia De La Educación Latinoamericana,2018,B
0123-5931,2256-5450,"Literatura: Teoria, Historia, Critica",2022,B
0122-1701,,Scientia Et Technica,2020,B
2256-1498,,Mutis,2014,C
0120-3592,1900-7205,Cuadernos De Administración,2022,C
,,Colombia Médica,2015,A1
0123-9392,2422-3794,Infectio,2022,C
1794-5232,,Cultura Del Cuidado Enfermeria,2016,C
2145-941X,2145-941X,Pensamiento & Gestión,2022,B
2215-8421,,Voces Y Silencios,2014,C
0123-4366,,Revista De Derecho Privado,2020,B
1794-3841,,Hallazgos,2017,B
,2011-7477,Eidos,2022,C
0124-406X,,Rastros Rostros,2014,C
0123-885X,,Revista De Estudios Sociales,2020,A2
1692-3324,,Revista Ingenierías Universidad De Medellín,2016,A2
1900-3102,2357-6014,Ingenieria Solidaria,2022,C
0121-8417,,Revista Historia Y Sociedad,2020,C
0120-3886,2390-0016,Revista Facultad De Derecho Y Ciencias Políticas,2021,C
2011-7922,,International Journal Of Psychological Research,2020,C
0120-3800,,Revista Interamericana De Psicología Ocupacional,2013,C
1900-2351,,Revista Politecnica,2017,C
0122-8706,,Revista Corpoica,2015,A2
0123-0425,,Educación Y Ciudad,2017,B
2027-7822,,Acta Odontologica Colombiana,2015,C
0121-246X,,Revista Facultad De Odontología,2016,A2
0120-1363,,Revista Escritos,2006,C
0120-1263,2390-0032,Escritos,2022,C
0122-7610,,Temas Agrarios,2015,B
0121-1129,,Revista Facultad De Ingeniería,2019,B
2215-7727,,Cuadernos De Desarrollo Rural,2017,B
0123-3122,,Persona Y Bioética,2016,A2
2011-3080,,Revista Ces Psicología,2020,B
2215-9444,,Arquetipo,2015,C
1692-7257,,Revista Colombiana De Tecnologías De Avanzada,2016,C
1794-1237,,Revista Eia,2015,A2
0034-7434,,Revista Colombiana De Obstetricia Y Ginecología,2020,C
1794-7154,2382-3240,"Saber, Ciencia Y Libertad",2021,B
0120-789X,,Revista Urologia Colombiana,2019,C
2346-030X,,"Aibi revista de investigación, administración e ingeniería",2019,B
0120-0690,2256-2958,Revista Colombiana De Ciencias Pecuarias,2021,B
2145-9258,2389-7724,Cultura Educacion Y Sociedad,2022,B
0122-6517,,Inge-Cuc,2019,B
2322-9381,2322-9675,Trashumante,2022,A2
0122-5383,2382-4581,"Ct&F Ciencia, Tecnología Y Futuro",2021,B
0122-8285,,Palabra Clave,2016,A2
0121-4381,,Suma Psicológica,2020,B
0121-4500,,Avances De Enfermería,2020,B
0120-4319,,Universitas Odontologica,2016,B
0121-067X,,Revista De Investigaciones,2015,C
1692-7273,,Revista Ciencias De La Salud,2015,A2
1794-4449,2256-3938,Revista Lasallista De Investigación,2021,C
2346-030X,,"Aibi revista de investigación, administración e ingeniería",2020,B
0123-8418,,Territorios,2020,C
1909-4450,,Revista Republicana,2015,A2
1794-9165,,Ingeniería Y Ciencia,2015,A2
0121-215X,,Cuadernos De Geografía,2016,A2
0123-9155,,Acta Colombiana De Psicología,2018,B
1909-8367,,Entre Ciencia E Ingenieria,2017,C
0121-053X,2346-1829,Cuadernos De Lingüística Hispánica,2021,B
1900-2386,,Psychologia. Avances De La Disciplina,2016,A1
0123-4226,2619-2551,Revista U.D.C.A. Actualidad & Divulgación Científica,2022,B
1794-8886,,Memorias,2020,B
1794-161X,,Revista Intropica,2016,C
0120-8462,2500-5375,Cuadernos De Filosofía Latinoamericana,2021,C
0122-9893,,Revista Derecho Del Estado,2019,C
0120-2456,2256-5647,Anuario Colombiano De Historia Social,2021,B
0124-8170,,Ciencia E Ingeniería Neogranadina,2019,B
0124-177X,2357-5905,Gestión Y Ambiente,2021,C
0120-0488,,Revista Colombiana De Entomología,2017,C
0124-0579,2145-4531,Estudios Socio-Jurídicos,2021,C
1909-2474,,Revista Luna Azul,2020,B
2248-7441,,Revista Antioqueña De Las Ciencias Computacionales Y La Ingeniería De Software (Raccis),2016,C
0122-0667,,Revista Medica De Risaralda,2004,C
1692-3901,,Economía Y Desarrollo,2009,C
0121-1617,,Historia Crítica,2019,A2
0120-3932,,Economicas Cuc,2020,C
2011-3501,,Dialectica Libertadora,2014,C
0120-386X,2256-3334,Revista Facultad Nacional De Salud Publica,2021,B
1657-5997,2027-5374,Aquichan,2021,C
0120-5587,,Lingüística Y Literatura,2021,C
2027-8306,2389-9417,"Revista De Investigacion, Desarrollo E Innovacion",2021,B
1657-7027,,Revista Gerencia Y Políticas De Salud,2014,A2
0124-0064,,Revista De Salud Pública,2004,A2
0123-3475,,Revista Colombiana De Biotecnología,2010,A2
2011-7582,,Revista Colombiana De Cirugía,2013,A2
0121-8123,,Revista Colombiana De Reumatología,2013,A2
0120-6230,,Revista Facultad De Ingeniería,2010,A1
0120-3630,,Boletín De Ciencias De La Tierra,2011,A2
0120-3576,,Coyuntura Económica,2006,C
0124-2253,,Revista Científica,2006,C
0124-2253,,Revista Científica,2004,C
1657-0448,,Revista De La Asociación Colombiana De Dermatología Y Cirugía Dermatológica,2014,C
0034-7450,,Revista Colombiana De Psiquiatría,2004,C
0120-8748,,Acta Neurológica Colombiana,2005,C
1657-3498,,Revista Institucional De La Universidad Tecnológica Del Chocó,2013,C
0123-5583,,Actualizaciones En Enfermería,2014,C
1692-2522,,Anagramas : Rumbos Y Sentidos De La Comunicación,2009,C
0121-7550,,Nomadas,2004,C
0304-2847,,Revista Facultad Nacional De Agronomía - Medellín,2004,C
0121-750X,,Ingeniería,2010,C
0120-5609,,Ingeniería E Investigación,2006,C
0120-2596,,Lecturas De Economía,2011,A2
0121-4004,,Vitae,2004,C
0121-4004,,Vitae,2006,B
1692-2522,,Anagramas : Rumbos Y Sentidos De La Comunicación,2011,A2
0121-3709,,Orinoquia,2009,B
0012-7353,,Dyna,2015,A1
0121-5051,,"Innovar, Revista De Ciencias Administrativas Y Sociales",2006,C
1692-1399,,Revista De Tecnología,2012,C
0123-4226,,Revista U.D.C.A. Actualidad & Divulgación Científica,2004,C
0121-3814,,"Tea Tecné, Episteme Y Didaxis",2008,B
1692-5238,,S&T : Sistemas Y Telemática,2006,C
1657-2831,,Revista Colombiana De Computación,2006,C
0123-9015,,Revista Colombiana De Cancerología,2013,B
0120-8705,,Revista Ces Medicina,2006,C
0121-8697,,Revista De Derecho,2006,C
1657-8961,,Pensamiento Psicológico,2007,C
0122-4409,,Papel Político,2010,A2
1794-9165,,Ingeniería Y Ciencia,2010,A2
1794-8932,,Sophia,2009,C
1900-9771,,Revista Gestión Y Región,2009,C
0120-8160,,Revista Escuela De Administración De Negocios,2014,B
1900-3803,,Entramado,2013,B
1657-7663,,Avances En Sistema E Informática,2006,C
0124-4108,,Perspectivas En Nutrición Humana,2011,B
0123-3475,,Revista Colombiana De Biotecnología,2009,B
0121-0807,,Salud Uis,2012,A2
1657-4583,,Uis Ingenierías,2014,B
0121-5612,,Colombia Internacional,2015,A2
0121-5612,,Colombia Internacional,2016,A2
2011-4532,,Eleuthera,2012,B
0122-8706,,Revista Corpoica,2009,B
1900-0642,,Criterio Libre,2010,C
1657-8031,,El Ágora Usb,2008,C
0124-4361,,Memorias,2010,C
0123-4250,,Revista Medica Sanitas,2011,C
0123-4641,,Colombian Applied Linguistics Journal,2010,B
1692-9918,,Ingenieria De Recursos Naturales Y Del Ambiente,2010,C
0122-5197,,Memoria Y Sociedad,2011,B
0072-0992,,Geología Colombiana,2006,C
1657-9550,,Biosalud,2015,A2
1657-6276,,Pensamiento & Gestión,2012,A2
1909-0455,,Producción + Limpia,2013,A2
0123-3432,,Íkala,2015,A2
1900-5407,,Antípoda : Revista De Antropología Y Arqueología,2014,A2
0120-3886,,Revista Facultad De Derecho Y Ciencias Políticas,2011,C
0120-5927,,How,2010,C
1909-8367,,Entre Ciencia E Ingenieria,2013,B
0124-4035,,Desafíos,2011,B
2011-5415,,Veterinaria Y Zootecnia,2014,B
2145-132X,,Historelo : Revista De Historia Regional Y Local,2014,A2
2011-0324,,Cs,2011,B
1900-3099,,Pensando Psicologia,2010,C
1909-3888,,Nodo,2013,B
2145-132X,,Historelo : Revista De Historia Regional Y Local,2012,B
0123-9678,,Ventana Informática,2011,C
0122-8102,,Cuadernos De Literatura,2009,C
1909-4450,,Revista Republicana,2012,B
0121-8530,,La Palabra,2011,B
1909-3667,,Tecciencia,2014,B
1692-8989,,Economía & Región,2011,B
0121-053X,,Cuadernos De Lingüística Hispánica,2011,B
2027-1786,,Revista Iberoamericana De Psicología: Ciencia Y Tecnología,2012,C
2145-6569,,Revista De Psicologia Gepu,2013,B
2145-6445,,Revista Latinoamericana De Estudios De Familia,2011,C
1794-7030,,Hojas Y Hablas,2011,C
0124-0102,,Advocatus,2012,B
0122-056X,,Informador Tecnico,2013,C
2216-0965,,Eafit Journal Of International Law,2011,C
2215-910X,,Suma De Negocios,2012,C
2145-5996,,Revista Lebret,2012,C
2011-222X,,Revista Colombiana De Las Artes Escénicas,2014,C
2248-6046,,Finanzas Y Política Económica,2013,B
1909-3667,,Tecciencia,2015,B
0122-6517,,Inge-Cuc,2015,C
2248-5759,,Revista Salud Bosque,2011,C
2145-9932,,Revista Ces Salud Publica,2014,C
2145-3535,,Informes Psicológicos,2013,C
,,Revista Digital De Derecho Administrativo,2014,C
1794-5240,,Medicas Uis,2014,B
2145-3535,,Informes Psicológicos,2016,C
2215-8812,,Textos Y Sentidos,2014,C
0121-7488,,Ciencia En Desarrollo,2016,A2
0120-386X,,Revista Facultad Nacional De Salud Publica,2017,C
0012-7353,,Dyna,2017,A2
0120-2596,,Lecturas De Economía,2017,B
0121-1129,,Revista Facultad De Ingeniería,2017,C
0120-4645,,Cuadernos De Administración,2017,B
1900-6896,,Revista Colombiana De Bioética,2017,C
2145-4086,,Lámpsakos,2017,C
1692-7389,,Ingenierias & Amazonia,2014,C
2011-2173,,Revista Colombiana De Ciencias Hortícolas,2018,B
0034-7450,,Revista Colombiana De Psiquiatría,2018,C
0120-2804,,Revista Colombiana De Química,2018,C
,,Mutatis Mutandis. Revista Latinoamericana De Traducción.,2018,B
1794-2489,,Tabula Rasa,2018,B
2027-2103,,Cuadernos De Vivienda Y Urbanismo,2018,C
0124-8693,2539-0554,Tendencias,2021,C
2145-132X,2145-132X,Historelo : Revista De Historia Regional Y Local,2022,A2
0123-3033,2027-8284,Ingeniería Y Competitividad,2021,B
1692-0279,,Ad-Minister Revista Escuela De Administración,2016,A2
1657-107X,,Revista Interamericana De Investigación Educación Y Pedagogía,2015,C
0124-0021,,Diálogos De Saberes,2017,C
1909-9762,,Revista Ingeniería Biomédica,2019,C
2145-4892,,Revista De Psicología Universidad De Antioquia,2016,C
0120-4319,,Universitas Odontologica,2012,B
0120-100X,,Ion,2017,C
0122-7483,,Universitas Scientiarum,2016,A2
2216-0647,,Traza,2015,C
0120-4823,,Signo Y Pensamiento,2016,A2
0120-9957,,Revista Colombiana De Gastroenterología,2016,B
2027-1786,2500-6517,Revista Iberoamericana De Psicología: Ciencia Y Tecnología,2021,C
2145-0935,,Revista Inge@Uan,2015,C
1657-4206,,Ecos De Economía,2015,A2
1900-8260,,Revista De Educación En Ingeniería,2019,C
0120-2650,,Revista Colombiana De Física,2014,B
1794-7154,,"Saber, Ciencia Y Libertad",2014,B
1794-7030,,Hojas Y Hablas,2015,C
0124-8170,,Ciencia E Ingeniería Neogranadina,2020,B
2216-0973,2346-3414,Revista Cuidarte,2021,B
0124-2253,2344-8350,Revista Científica,2021,B
0122-056X,,Informador Tecnico,2019,C
1692-7273,,Revista Ciencias De La Salud,2016,A2
1794-2489,,Tabula Rasa,2020,B
0121-246X,,Revista Facultad De Odontología,2017,B
0124-0021,,Diálogos De Saberes,2008,C
0120-0062,2011-3668,Ideas Y Valores,2022,B
0122-1701,,Scientia Et Technica,2014,C
2216-1473,,Revista Investigium Ire: Ciencias Sociales Y Humanas,2016,C
0123-7756,,Revista Historia De La Educacion Colombiana,2016,C
1657-3412,,Cuadernos Hispanoamericanos De Psicología,2016,C
0120-1468,,Franciscanum,2019,C
0124-7441,,Justicia,2019,B
1909-941X,2389-7848,Clio América,2022,C
2011-7213,,Pensamiento Y Poder,2013,C
0121-7488,,Ciencia En Desarrollo,2017,C
2011-804X,2462-8441,"(Pensamiento), (Palabra) Y Obra",2022,B
2346-1780,,Perseitas,2016,C
0123-3769,2500-8684,Perspectiva Geográfica,2022,C
2215-910X,,Suma De Negocios,2020,B
,2256-1498,Mutis,2021,C
0121-2753,,Itinerario Educativo : Revista De La Facultad De Educación,2016,C
0120-100X,,Ion,2016,A2
1692-8563,,Dimensión Empresarial,2020,B
0120-5633,,Revista Colombiana De Cardiología,2016,A2
2145-4086,,Lámpsakos,2013,C
0122-8706,2500-5308,Revista Corpoica,2022,C
0124-4639,,Revista Universidad Y Empresa,2017,B
2011-7531,,Salud Uninorte,2014,A2
2145-9258,,Cultura Educacion Y Sociedad,2019,C
1794-7154,,"Saber, Ciencia Y Libertad",2016,B
1909-8367,,Entre Ciencia E Ingenieria,2019,C
